Symbol,Date,Close
AAPL,7/26/2021,148.99
AAPL,7/27/2021,146.77
AAPL,7/28/2021,144.98
AAPL,7/29/2021,145.64
AAPL,7/30/2021,145.86
AAPL,8/2/2021,145.52
AAPL,8/3/2021,147.36
AAPL,8/4/2021,146.95
AAPL,8/5/2021,147.06
AAPL,8/6/2021,146.14
AAPL,8/9/2021,146.09
AAPL,8/10/2021,145.6
AAPL,8/11/2021,145.86
AAPL,8/12/2021,148.89
AAPL,8/13/2021,149.1
AAPL,8/16/2021,151.12
AAPL,8/17/2021,150.19
AAPL,8/18/2021,146.36
AAPL,8/19/2021,146.7
AAPL,8/20/2021,148.19
AAPL,8/23/2021,149.71
AAPL,8/24/2021,149.62
AAPL,8/25/2021,148.36
AAPL,8/26/2021,147.54
AAPL,8/27/2021,148.6
AAPL,8/30/2021,153.12
AAPL,8/31/2021,151.83
AAPL,9/1/2021,152.51
AAPL,9/2/2021,153.65
AAPL,9/3/2021,154.3
AAPL,9/7/2021,156.69
AAPL,9/8/2021,155.11
AAPL,9/9/2021,154.07
AAPL,9/10/2021,148.97
AAPL,9/13/2021,149.55
AAPL,9/14/2021,148.12
AAPL,9/15/2021,149.03
AAPL,9/16/2021,148.79
AAPL,9/17/2021,146.06
AAPL,9/20/2021,142.94
AAPL,9/21/2021,143.43
AAPL,9/22/2021,145.85
AAPL,9/23/2021,146.83
AAPL,9/24/2021,146.92
AAPL,9/27/2021,145.37
AAPL,9/28/2021,141.91
AAPL,9/29/2021,142.83
AAPL,9/30/2021,141.5
AAPL,10/1/2021,142.65
AAPL,10/4/2021,139.14
AAPL,10/5/2021,141.11
AAPL,10/6/2021,142
AAPL,10/7/2021,143.29
AAPL,10/8/2021,142.9
AAPL,10/11/2021,142.81
AAPL,10/12/2021,141.51
AAPL,10/13/2021,140.91
AAPL,10/14/2021,143.76
AAPL,10/15/2021,144.84
AAPL,10/18/2021,146.55
AAPL,10/19/2021,148.76
AAPL,10/20/2021,149.26
AAPL,10/21/2021,149.48
AAPL,10/22/2021,148.69
AAPL,10/25/2021,148.64
AAPL,10/26/2021,149.32
AAPL,10/27/2021,148.85
AAPL,10/28/2021,152.57
AAPL,10/29/2021,149.8
AAPL,11/1/2021,148.96
AAPL,11/2/2021,150.02
AAPL,11/3/2021,151.49
AAPL,11/4/2021,150.96
AAPL,11/5/2021,151.28
AAPL,11/8/2021,150.44
AAPL,11/9/2021,150.81
AAPL,11/10/2021,147.92
AAPL,11/11/2021,147.87
AAPL,11/12/2021,149.99
AAPL,11/15/2021,150
AAPL,11/16/2021,151
AAPL,11/17/2021,153.49
AAPL,11/18/2021,157.87
AAPL,11/19/2021,160.55
AAPL,11/22/2021,161.02
AAPL,11/23/2021,161.41
AAPL,11/24/2021,161.94
AAPL,11/26/2021,156.81
AAPL,11/29/2021,160.24
AAPL,11/30/2021,165.3
AAPL,12/1/2021,164.77
AAPL,12/2/2021,163.76
AAPL,12/3/2021,161.84
